name,ons_code,Region,06IndustryandCommercial,06Domestic,06Transport,06TotalFinal,06PerCapitaEmissions,07IndustryandCommercial,07Domestic,07Transport,07TotalFinal,08IndustryandCommercial,08Domestic,08Transport,08TotalFinal,09IndustryandCommercial,09Domestic,09Transport,09TotalFinal,10IndustryandCommercial,10Domestic,10Transport,10TotalFinal,11IndustryandCommercial,11Domestic,11Transport,11TotalFinal,11PerCapitaEmissions,12IndustryandCommercial,12Domestic,12Transport,12TotalFinal,13IndustryandCommercial,13Domestic,13Transport,13TotalFinal,14IndustryandCommercial,14Domestic,14Transport,14TotalFinal,15IndustryandCommercial,15Domestic,15Transport,15TotalFinal,16IndustryandCommercial,16Domestic,16Transport,16TotalFinal,16PerCapitaEmissions,PcIndustry16,PcDomestic16,PcTransport16,16LULUCF,Pc16LULUCF,PcChangeTotal1116,PcChangeIndustry1116,PcChangeDomestic1116,PcChangeTransport1116,RankingPolluting16,CheckTransport,Higheroverfiveyears,Size of area 12,Population 3,SO2,O3,NO2,NH3,PM10,PM2.5,Total,TotalArria,kgSavedperHA,kgsavedperPerson,Pcremovedof SO2,PcremovedofO3,PcremovedofNO2,PcremovedofNH3,PcremovedofPM10,PcremovedofPM2.5,MoneySO2,MoneyO3,MoneyNO2,MoneyPM25,MoneyTotal,MoneyMillion,MoneySaved per person,MoneySaved per ha,PcMoneysavedofSO2,PcMoneysavedofO3,PcMoneysavedofNO2,PcMoneysavedofPM2.5
Cardiff,W06000015,Wales,1003.975783,739.400659,716.9296341,2463.69496,7.609492535,996.5450679,696.7081937,725.5350634,2421.439699,1014.223707,716.1284821,698.3922933,2431.348402,942.2267746,644.7688011,670.444845,2258.968655,958.7420332,684.0732648,652.6981272,1866.422179,775.8219599,596.2815321,646.7159542,2019.569272,5.84633389,940.8732835,646.1082768,648.6596075,2236.439574,865.8439821,628.8356488,640.1257529,2135.243342,778.004197,514.8214387,654.5454132,1947.157388,706.6461814,498.5548786,661.9664728,1866.422179,648.9178933,471.3507312,673.5194725,1793.059617,4.964613745,36.17583896,26.27683459,37.54732644,-0.728479792,-0.040611251,-11.21574079,-16.35736976,-20.95164686,4.144558065,30,Transport,Yes,47348,484752,298940,1884376,258472,100191,68779,41973,2652731,2.7,56.02625394,5.472346478,11.26914579,71.035319,9.743634677,3.776883688,2.592754886,1.582261963,9920,325604,333032,7185823,7854379,7.854379,16.20288106,165.8861832,0.126298973,4.145509148,4.240080597,91.48811128
Monmouthshire,W06000021,Wales,278.7063658,245.4568443,355.0579304,857.4541861,9.624583972,261.4525563,231.776056,366.1928357,832.9497798,258.067746,237.2230841,353.0888695,823.3370582,237.6965073,216.9047858,341.6850055,763.1011576,251.639263,234.2491912,338.1028578,656.2709719,236.1441473,200.9797424,335.380351,735.776505,8.040570278,221.4241533,215.9120778,332.219451,735.1002886,229.4451995,210.9208896,329.967914,734.2197634,206.3023544,177.7257378,329.7148788,672.9097365,185.0311164,172.7774819,342.7505309,656.2709719,174.3911964,164.2207471,351.8159539,647.7491283,6.9444351,25.25842265,23.785358,50.95621936,-42.67876911,-6.181495456,-11.96387437,-26.15053203,-18.28990068,4.90058612,237,Transport,Yes,104080,240245,455353,5251060,472813,299873,237795,145527,6862422,6.9,65.93433084,28.56426629,6.635459571,76.51905199,6.889890213,4.3697801,3.465182084,2.120636044,4606,210247,107755,4164517,4487125,4.487125,18.67728777,43.11226941,0.102649246,4.685561468,2.401426303,92.81036298
Newport,W06000022,Wales,1228.43097,343.623162,481.0758702,2049.035871,14.57797101,1079.766872,320.6065623,475.7441025,1870.989537,962.5014402,327.7944143,459.3618011,1744.94125,676.779912,296.4475311,438.5005536,1405.038187,804.235637,315.0816438,435.7189716,1258.058428,716.4581226,271.4185567,436.2600575,1416.887134,9.719018648,635.6116679,291.1768798,432.3493836,1352.691075,705.8938766,290.3136069,430.992534,1420.590075,584.9453853,239.0884481,438.4315783,1254.682875,578.8008945,234.1137612,453.5698187,1258.058428,589.3513892,225.3501556,463.6182541,1270.5401,8.499846799,46.10359549,17.62862124,36.26778327,-7.779698973,-0.608587849,-10.32877145,-17.74098575,-16.97319507,6.271075267,58,No,Yes,104080,240245,455353,5251060,472813,299873,237795,145527,6862422,6.9,65.93433084,28.56426629,6.635459571,76.51905199,6.889890213,4.3697801,3.465182084,2.120636044,4606,210247,107755,4164517,4487125,4.487125,18.67728777,43.11226941,0.102649246,4.685561468,2.401426303,92.81036298
Powys,W06000023,Wales,472.9067638,414.644925,370.5100715,934.8331107,7.134115637,459.257184,395.4269063,374.2827897,890.1782657,446.4185733,402.3475466,361.0052945,912.2997918,410.5265292,377.7452565,354.1389392,779.8782297,433.8443729,411.5496112,354.243509,705.0441424,414.6723601,350.7575378,346.8631877,781.3102519,5.871378827,399.9227785,368.48167,340.9444408,862.2982004,395.1605653,354.9579875,327.0665277,828.3856749,405.8067183,308.6391649,334.2260106,765.5136216,357.2007742,296.1119896,339.2806428,705.0441424,345.130399,281.2751493,349.2641625,740.9439113,5.598917244,35.37369206,28.82893116,35.79737678,-234.7257995,-24.057916,-5.166493149,-16.77033913,-19.80923603,0.692196473,197,Transport,Yes,519532,132642,1269750,25574477,937086,1102862,1183136,649671,30716981,30.7,59.12431915,231.5780921,4.133705626,83.25843113,3.05071112,3.590397939,3.851733121,2.115021069,1550,121768,-71541,2056363,2108140,2.10814,15.89345758,4.057767375,0.073524529,5.776086977,-3.3935602,97.54394869
Wales,W06000023,Wales,19458.98,7908.30,6692.06,33247.07,11.14,19412.70,7496.83,6803.17,32821.75,18469.91,7658.99,6542.54,31892.75,15079.66,6984.95,6332.17,27385.13,17652.18,7465.92,6251.29,30485.77,15874.23,6459.97,6127.56,27510.90,8.98,14686.95,6872.42,6063.43,26882.47,17365.21,6714.96,6032.20,29370.21,17135.06,5643.19,6105.73,28065.31,15480.76,5474.86,6253.64,26301.99,14054.65,5178.12,6387.56,24866.06,7.99,56.52,20.82,25.69,-754.26,-3.03,-9.61,-11.46,-19.84,4.24,2191.00,0.00,0.00,"2,024,359","3,653,409","6,350,716","95,941,885","4,730,044","4,490,966","4,418,357","2,338,628","118,270,595",118.27,58.42,32.37,5.37,81.12,4.00,3.80,3.74,1.98,63473.00,2896617.00,790026.00,51471311.00,55221427.00,55.22,15.12,27.28,1.60,81.91,3.22,1313.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
